full_name,cc_score,party,role,state,cc_score_state_mean,color,x_score,x,y,index,vy,vx,full_name_upper
Kirsten Engel,95.1,Democrat,Senator,Arizona,48.95712204,blue,95.1,474.32206,1131.230668,51,0.007037344,0.00096387,KIRSTEN ENGEL
Lela Alston,94.7,Democrat,Senator,Arizona,48.95712204,blue,94.7,474.022323,1096.104207,52,-0.000340461,2.52E-05,LELA ALSTON
John Kavanagh,7.6,Republican,Representative,Arizona,48.95712204,red,7.6,39.31434696,1120.205541,53,0.00077318,-0.000433851,JOHN KAVANAGH
Denise Epstein,96.3,Democrat,Representative,Arizona,48.95712204,blue,96.3,486.2815032,1113.248885,54,0.000860487,0.002002387,DENISE EPSTEIN
Franklin Pratt,5.3,Republican,Representative,Arizona,48.95712204,red,5.3,27.55639943,1120.54687,55,0.004981876,0.000972863,FRANKLIN PRATT
Quang Nguyen,5,Republican,Representative,Arizona,48.95712204,red,5,23.67429086,1089.188464,56,-0.004148075,0.001330517,QUANG NGUYEN
Jacqueline Parker,0,Republican,Representative,Arizona,48.95712204,red,0,-4.984243024,1103.681396,57,-6.87E-05,-0.000325524,JACQUELINE PARKER
Gail Griffin,8.3,Republican,Representative,Arizona,48.95712204,red,8.3,43.49952869,1096.548582,58,0.000299462,0.000197482,GAIL GRIFFIN
Martin Quezada,98.1,Democrat,Senator,Arizona,48.95712204,blue,98.1,492.2271289,1125.880391,59,-0.000214647,-0.001251616,MARTIN QUEZADA
Raquel Teran,98.1,Democrat,Representative,Arizona,48.95712204,blue,98.1,494.2391058,1102.035851,60,-0.001661433,0.002623408,RAQUEL TERAN
Vince Leach,3.5,Republican,Senator,Arizona,48.95712204,red,3.5,14.91066827,1099.871675,61,-0.005783835,-0.002114053,VINCE LEACH
Russell Bowers,6.4,Republican,Representative,Arizona,48.95712204,red,6.4,28.59187658,1102.151354,62,-0.002739736,-0.002876858,RUSSELL BOWERS
Victoria Steele,96.6,Democrat,Senator,Arizona,48.95712204,blue,96.6,487.7570861,1097.398182,63,-0.001151271,0.001438996,VICTORIA STEELE
Tim Dunn,11.6,Republican,Representative,Arizona,48.95712204,red,11.6,57.70289444,1099.188653,64,-0.001127888,-0.001775077,TIM DUNN
Sally Gonzales,97.2,Democrat,Senator,Arizona,48.95712204,blue,97.2,485.7476103,1121.206937,65,0.001141346,-0.002537176,SALLY GONZALES
Kelli Butler,97.6,Democrat,Representative,Arizona,48.95712204,blue,97.6,493.4574663,1109.983103,66,-0.001203657,0.003996021,KELLI BUTLER
Jennifer Longdon,96.2,Democrat,Representative,Arizona,48.95712204,blue,96.2,479.8294647,1108.618181,67,0.001256584,6.33E-05,JENNIFER LONGDON
Michelle Udall,11.8,Republican,Representative,Arizona,48.95712204,red,11.8,63.4844925,1104.671012,68,-0.001415556,-0.000510949,MICHELLE UDALL
Nancy Barto,5.9,Republican,Senator,Arizona,48.95712204,red,5.9,29.84792987,1094.252107,69,-0.002282303,0.000250675,NANCY BARTO
Rosanna Gabaldon,95.2,Democrat,Senator,Arizona,48.95712204,blue,95.2,471.8962921,1119.945159,70,0.001058902,-0.001325128,ROSANNA GABALDON
Daniel Hernandez,91.2,Democrat,Representative,Arizona,48.95712204,blue,91.2,454.5054589,1117.442874,71,0.002553466,0.000758892,DANIEL HERNANDEZ
Ben Toma,10.5,Republican,Representative,Arizona,48.95712204,red,10.5,51.69573255,1093.939037,72,-0.000128389,-0.003300304,BEN TOMA
Jamescita Peshlakai,94.4,Democrat,Senator,Arizona,48.95712204,blue,94.4,467.7431358,1126.716167,73,0.00467234,0.002016159,JAMESCITA PESHLAKAI
Rick Gray,4.9,Republican,Senator,Arizona,48.95712204,red,4.9,22.38412138,1097.061946,74,-0.004027797,-0.001003872,RICK GRAY
Reginald Bolding,92.9,Democrat,Representative,Arizona,48.95712204,blue,92.9,461.2088707,1122.098363,75,0.004765692,0.001987055,REGINALD BOLDING
Michelle Ugenti-Rita,7.4,Republican,Senator,Arizona,48.95712204,red,7.4,33.32340134,1114.985138,76,0.00151463,-0.002740375,MICHELLE UGENTI-RITA
Diego Espinoza,90.2,Democrat,Representative,Arizona,48.95712204,blue,90.2,451.5664049,1102.235882,77,0.001102799,-0.001126513,DIEGO ESPINOZA
Paul Boyer,7.7,Republican,Senator,Arizona,48.95712204,red,7.7,46.78191095,1117.511484,78,-0.000120381,0.000744423,PAUL BOYER
Karen Fann,4.4,Republican,Senator,Arizona,48.95712204,red,4.4,21.07632213,1104.942532,79,-0.004075863,-0.002941735,KAREN FANN
Leo Biasiucci,15.1,Republican,Representative,Arizona,48.95712204,red,15.1,71.52020874,1108.333916,80,-1.36E-05,-0.000468192,LEO BIASIUCCI
Judy Burges,2.3,Republican,Representative,Arizona,48.95712204,red,2.3,9.088213968,1105.314949,81,0.000532324,0.002771714,JUDY BURGES
Alma Hernandez,90.2,Democrat,Representative,Arizona,48.95712204,blue,90.2,450.8760344,1110.197647,82,0.001218296,-0.002039242,ALMA HERNANDEZ
Mark Finchem,4.7,Republican,Representative,Arizona,48.95712204,red,4.7,21.43695486,1115.423598,83,0.004549948,0.000722002,MARK FINCHEM
Andrea Dalessandro,94.6,Democrat,Representative,Arizona,48.95712204,blue,94.6,472.5611518,1111.977271,84,0.00111559,0.000196007,ANDREA DALESSANDRO
David Gowan,3.6,Republican,Senator,Arizona,48.95712204,red,3.6,16.19643159,1092.006088,85,-0.006070986,0.000391577,DAVID GOWAN
Travis Grantham,8.2,Republican,Representative,Arizona,48.95712204,red,8.2,42.16175271,1104.427212,86,0.000299493,-0.000990829,TRAVIS GRANTHAM
Pamela Hannley,96.4,Democrat,Representative,Arizona,48.95712204,blue,96.4,480.5212322,1100.710134,87,-0.000117994,0.000823579,PAMELA HANNLEY
Andres Cano,96.2,Democrat,Representative,Arizona,48.95712204,blue,96.2,479.1214768,1116.56151,88,0.001832501,-0.000397576,ANDRES CANO
Arlando Teller,93.8,Democrat,Representative,Arizona,48.95712204,blue,93.8,466.7734253,1099.433354,89,0.000256956,-0.000292147,ARLANDO TELLER
Mike Beltran,0,Republican,Representative,Florida,29.22584531,red,0,22.21714464,128.3432073,90,-0.039150759,0.013005265,MIKE BELTRAN
Jim Mooney,7.7,Republican,Representative,Florida,29.22584531,red,7.7,38.95692197,161.8008806,91,0.001837448,0.005776174,JIM MOONEY
Jim Boyd,0,Republican,Senator,Florida,29.22584531,red,0,1.618854671,124.4902151,92,-0.024926978,0.002662728,JIM BOYD
Joseph Casello,77.8,Democrat,Representative,Florida,29.22584531,blue,77.8,387.9188673,157.3789405,93,0.000492987,-0.000544564,JOSEPH CASELLO
Ana Rodriguez,3.6,Republican,Senator,Florida,29.22584531,red,3.6,26.99468008,138.0285038,94,0.016964763,-0.004181223,ANA RODRIGUEZ
Dana Trabulsy,0,Republican,Representative,Florida,29.22584531,red,0,-24.26331415,137.6577648,95,-0.035729903,-0.004115645,DANA TRABULSY
Shevrin Jones,70,Democrat,Senator,Florida,29.22584531,blue,70,350.2854123,158.329383,96,4.25E-06,6.22E-05,SHEVRIN JONES
Ben Albritton,0,Republican,Senator,Florida,29.22584531,red,0,5.726609014,150.9308455,97,0.000486498,0.003234274,BEN ALBRITTON
Randy Maggard,0,Republican,Representative,Florida,29.22584531,red,0,2.147445348,103.6805109,98,-0.035136653,0.010015205,RANDY MAGGARD
Lawrence McClure,0,Republican,Representative,Florida,29.22584531,red,0,12.3328982,115.8600365,99,-0.029416959,0.003606984,LAWRENCE MCCLURE
Anna Eskamani,100,Democrat,Representative,Florida,29.22584531,blue,100,500.038192,151.4048586,100,6.80E-06,-0.000127758,ANNA ESKAMANI
Darryl Rouson,72,Democrat,Senator,Florida,29.22584531,blue,72,360,162.3292745,101,9.44E-05,7.05E-16,DARRYL ROUSON
Dotie Joseph,96.6,Democrat,Representative,Florida,29.22584531,blue,96.6,484.3276111,163.3820417,102,0.000846412,0.000111234,DOTIE JOSEPH
Patt Maney,0,Republican,Representative,Florida,29.22584531,red,0,-7.133574834,145.9960542,103,-0.007115363,-0.034524664,PATT MANEY
Joseph Geller,69,Democrat,Representative,Florida,29.22584531,blue,69,345.7112485,165.547738,104,0.000403919,-1.16E-05,JOSEPH GELLER
Jayer Williamson,0,Republican,Representative,Florida,29.22584531,red,0,23.61809743,145.2326515,105,0.025216883,0.013424486,JAYER WILLIAMSON
Adam Botana,0,Republican,Representative,Florida,29.22584531,red,0,-14.03458095,149.5150377,106,0.001838946,-0.040847379,ADAM BOTANA
Tracie Davis,85.7,Democrat,Representative,Florida,29.22584531,blue,85.7,428.740493,148.8556763,107,-0.000684611,0.000520176,TRACIE DAVIS
Debbie Mayfield,0,Republican,Senator,Florida,29.22584531,red,0,9.393376524,123.1839761,108,-0.026174686,0.007495056,DEBBIE MAYFIELD
Omari Hardy,100,Democrat,Representative,Florida,29.22584531,blue,100,496.0156671,158.310603,109,9.03E-05,-0.000362417,OMARI HARDY
Traci Koster,0,Republican,Representative,Florida,29.22584531,red,0,-19.10739239,143.523011,110,-0.02726475,-0.009060316,TRACI KOSTER
George Gainer,28,Republican,Senator,Florida,29.22584531,red,28,140,158.3333333,111,3.98E-16,-2.21E-16,GEORGE GAINER
Wyman Duggan,0,Republican,Representative,Florida,29.22584531,red,0,-3.389302225,169.0195429,112,-0.002286037,-0.01104766,WYMAN DUGGAN
Rene Plasencia,3.7,Republican,Representative,Florida,29.22584531,red,3.7,25.74914951,167.8632204,113,0.021914842,0.008126298,RENE PLASENCIA
Susan Valdes,86.2,Democrat,Representative,Florida,29.22584531,blue,86.2,434.9796652,153.8324855,114,0.000303493,0.000296374,SUSAN VALDES
Brad Drake,0,Republican,Representative,Florida,29.22584531,red,0,-19.54854265,155.1911563,115,0.00464679,-0.039130297,BRAD DRAKE
Marie Woodson,92.3,Democrat,Representative,Florida,29.22584531,blue,92.3,456.2084498,169.9811734,116,0.000829107,-7.77E-05,MARIE WOODSON
Joy Goff-Marcil,96.6,Democrat,Representative,Florida,29.22584531,blue,96.6,484.4761872,153.3473232,117,-0.001040406,-0.000239016,JOY GOFF-MARCIL
Anika Omphroy,68.8,Democrat,Representative,Florida,29.22584531,blue,68.8,342.2883501,158.3360039,118,-4.11E-05,-5.54E-06,ANIKA OMPHROY
Audrey Gibson,63.6,Democrat,Senator,Florida,29.22584531,blue,63.6,315.7023769,153.700194,119,-3.62E-05,-0.000282731,AUDREY GIBSON
Sam Killebrew,17.2,Republican,Representative,Florida,29.22584531,red,17.2,86,158.3333333,120,-2.21E-16,-1.14E-51,SAM KILLEBREW
Emily Slosberg,80,Democrat,Representative,Florida,29.22584531,blue,80,402.1903831,150.2181068,121,-7.29E-05,2.56E-05,EMILY SLOSBERG
Dan Daley,63.6,Democrat,Representative,Florida,29.22584531,blue,63.6,317.8562509,161.4009067,122,-2.56E-05,3.24E-06,DAN DALEY
Aaron Bean,4,Republican,Senator,Florida,29.22584531,red,4,28.5551561,154.2353973,123,0.019827282,0.007941085,AARON BEAN
David Smith,0,Republican,Representative,Florida,29.22584531,red,0,-0.61414926,111.0761389,124,-0.034134207,0.005972328,DAVID SMITH
Tina Polsky,65.4,Democrat,Senator,Florida,29.22584531,blue,65.4,327.5108457,162.5553605,125,0.000146594,-1.63E-06,TINA POLSKY
Nicholas Duran,76.2,Democrat,Representative,Florida,29.22584531,blue,76.2,379.0058672,163.9108927,126,-0.000678398,0.000203711,NICHOLAS DURAN
Christine Hunschofsky,92.3,Democrat,Representative,Florida,29.22584531,blue,92.3,462.9897638,165.8276838,127,0.000372859,0.000945829,CHRISTINE HUNSCHOFSKY
David Borrero,0,Republican,Representative,Florida,29.22584531,red,0,7.203733503,109.7966479,128,-0.031363126,0.007031358,DAVID BORRERO
Mike Caruso,6.9,Republican,Representative,Florida,29.22584531,red,6.9,36.52268673,154.1889279,129,-0.00085553,0.009600349,MIKE CARUSO
Erin Grall,0,Republican,Representative,Florida,29.22584531,red,0,-18.85797579,192.4722688,130,0.024599956,0.003300934,ERIN GRALL
Victor Torres,80,Democrat,Senator,Florida,29.22584531,blue,80,401.2554999,166.1808318,131,0.000172054,0.000240194,VICTOR TORRES
Webster Barnaby,0,Republican,Representative,Florida,29.22584531,red,0,17.23493651,122.106933,132,-0.032734622,0.007478585,WEBSTER BARNABY
Amber Mariano,0,Republican,Representative,Florida,29.22584531,red,0,14.4757002,129.3628824,133,-0.02677363,0.00841913,AMBER MARIANO
Chris Latvala,0,Republican,Representative,Florida,29.22584531,red,0,3.873033518,137.4905087,134,-0.016724425,0.006181403,CHRIS LATVALA
Sam Garrison,0,Republican,Representative,Florida,29.22584531,red,0,21.36464561,181.8610198,135,0.018389347,-0.009165363,SAM GARRISON
Christopher Benjamin,100,Democrat,Representative,Florida,29.22584531,blue,100,503.9791575,158.3577863,136,-0.000129748,0.000481676,CHRISTOPHER BENJAMIN
Patricia Hawkins-Williams,85.2,Democrat,Representative,Florida,29.22584531,blue,85.2,421.4488332,152.0987922,137,-0.001332017,-0.000262008,PATRICIA HAWKINS-WILLIAMS
Randolph Bracy,52.2,Democrat,Senator,Florida,29.22584531,blue,52.2,261,158.3333333,138,0,0,RANDOLPH BRACY
Blaise Ingoglia,0,Republican,Representative,Florida,29.22584531,red,0,-2.101943865,204.808888,139,-0.000918872,0.034795819,BLAISE INGOGLIA
Rick Roth,0,Republican,Representative,Florida,29.22584531,red,0,23.27275193,189.591439,140,0.011771608,0.002948071,RICK ROTH
Geraldine Thompson,93.1,Democrat,Representative,Florida,29.22584531,blue,93.1,469.8279626,161.702087,141,-0.000739454,0.000641609,GERALDINE THOMPSON
Jason Brodeur,0,Republican,Senator,Florida,29.22584531,red,0,-18.35386326,164.3645748,142,0.010525168,-0.031483322,JASON BRODEUR
Keith Perry,0,Republican,Senator,Florida,29.22584531,red,0,-7.183276693,181.9221683,143,0.005374729,-0.01422954,KEITH PERRY
Linda Chaney,0,Republican,Representative,Florida,29.22584531,red,0,5.299683862,207.1884192,144,-0.011367361,0.04290311,LINDA CHANEY
Jason Fischer,0,Republican,Representative,Florida,29.22584531,red,0,-11.30309404,194.7154279,145,0.015646041,0.010325314,JASON FISCHER
Jay Trumbull,3.7,Republican,Representative,Florida,29.22584531,red,3.7,31.31709079,146.7651295,146,0.021843676,0.017264913,JAY TRUMBULL
Thomas Fabricio,0,Republican,Representative,Florida,29.22584531,red,0,19.41022602,135.7191897,147,-0.040559962,0.009759635,THOMAS FABRICIO
Felicia Simone Robinson,92.3,Democrat,Representative,Florida,29.22584531,blue,92.3,455.6294814,146.054506,148,-0.000693126,-0.000677942,FELICIA SIMONE ROBINSON
Kristen Arrington,92.3,Democrat,Representative,Florida,29.22584531,blue,92.3,460.1217905,176.9287767,149,0.001828735,-0.0006209,KRISTEN ARRINGTON
Bryan Avila,0,Republican,Representative,Florida,29.22584531,red,0,-3.701042388,197.1267015,150,0.002330398,0.020158278,BRYAN AVILA
Gary Farmer,72,Democrat,Senator,Florida,29.22584531,blue,72,360,154.3373921,151,-9.44E-05,-7.05E-16,GARY FARMER
Douglas Broxson,0,Republican,Senator,Florida,29.22584531,red,0,-16.29248185,113.6071521,152,-0.041670903,0.003250914,DOUGLAS BROXSON
Ed Hooper,0,Republican,Senator,Florida,29.22584531,red,0,-24.18786823,169.4518204,153,0.023344814,-0.028862947,ED HOOPER
Jason Shoaf,0,Republican,Representative,Florida,29.22584531,red,0,8.647630323,144.0321657,154,-0.018627738,0.024138619,JASON SHOAF
Stan McClain,0,Republican,Representative,Florida,29.22584531,red,0,-8.422956455,112.4259474,155,-0.038720263,0.005022505,STAN MCCLAIN
Jenna Persons-Mulicka,0,Republican,Representative,Florida,29.22584531,red,0,-19.08210599,121.0452175,156,-0.042228105,0.00026565,JENNA PERSONS-MULICKA
Ben Diamond,86.2,Democrat,Representative,Florida,29.22584531,blue,86.2,426.8051728,164.9931694,157,0.000456704,-0.000372543,BEN DIAMOND
Fiona McFarland,0,Republican,Representative,Florida,29.22584531,red,0,19.3918431,174.1873834,158,0.016223926,0.00733947,FIONA MCFARLAND
Cord Byrd,0,Republican,Representative,Florida,29.22584531,red,0,-1.078754826,131.6779379,159,-0.015197392,-0.011494734,CORD BYRD
Ramon Alexander,93.1,Democrat,Representative,Florida,29.22584531,blue,93.1,469.6486395,153.7136481,160,-0.000949488,0.000122441,RAMON ALEXANDER
Fred Hawkins,0,Republican,Representative,Florida,29.22584531,red,0,17.47395863,195.713267,161,0.060088941,0.00119809,FRED HAWKINS
Andrew Learned,30.8,Democrat,Representative,Florida,29.22584531,blue,30.8,154,158.3333333,162,0,0,ANDREW LEARNED
Evan Jenne,92.9,Democrat,Representative,Florida,29.22584531,blue,92.9,469.4256996,145.7273068,163,-0.00120843,0.000616131,EVAN JENNE
Wilton Simpson,0,Republican,Senator,Florida,29.22584531,red,0,-0.496521886,212.5661802,164,-0.004405245,0.046807642,WILTON SIMPSON
Ileana Garcia,0,Republican,Senator,Florida,29.22584531,red,0,13.1135504,208.79913,165,0.074542278,0.026132898,ILEANA GARCIA
Carlos Smith,89.3,Democrat,Representative,Florida,29.22584531,blue,89.3,446.5,158.3333334,166,-4.08E-11,-5.99E-41,CARLOS SMITH
Kelli Stargel,0,Republican,Senator,Florida,29.22584531,red,0,-14.69531992,179.5670355,167,0.011332152,-0.018283441,KELLI STARGEL
Clay Yarborough,0,Republican,Representative,Florida,29.22584531,red,0,-11.3041414,119.6872183,168,-0.036581992,0.003174473,CLAY YARBOROUGH
Chris Sprowls,0,Republican,Representative,Florida,29.22584531,red,0,3.811103821,199.4452431,169,-0.007891525,0.028265873,CHRIS SPROWLS
Kaylee Tuck,0,Republican,Representative,Florida,29.22584531,red,0,6.632639197,130.3549144,170,-0.021224455,0.007191138,KAYLEE TUCK
Kathleen Passidomo,0,Republican,Senator,Florida,29.22584531,red,0,-3.349623275,118.5368285,171,-0.03544796,0.001938772,KATHLEEN PASSIDOMO
Travis Hutson,0,Republican,Senator,Florida,29.22584531,red,0,15.64744114,188.1297436,172,0.057126555,-0.014782733,TRAVIS HUTSON
Jackie Toledo,3.4,Republican,Representative,Florida,29.22584531,red,3.4,27.11408772,175.6995524,173,0.023830441,0.005822157,JACKIE TOLEDO
Cyndi Stevenson,3.8,Republican,Representative,Florida,29.22584531,red,3.8,30.96907047,161.8355093,174,0.021390503,0.010853321,CYNDI STEVENSON
Michele Rayner,92.3,Democrat,Representative,Florida,29.22584531,blue,92.3,462.8468608,157.8679445,175,-0.000506804,-0.000417067,MICHELE RAYNER
Jason Pizzo,75,Democrat,Senator,Florida,29.22584531,blue,75,372.6733945,159.0370805,176,-2.25E-05,-0.000561684,JASON PIZZO
Vance Aloupis,0,Republican,Representative,Florida,29.22584531,red,0,17.98642569,166.3860267,177,0.017413095,0.00827295,VANCE ALOUPIS
Spencer Roach,0,Republican,Representative,Florida,29.22584531,red,0,10.25268908,165.4748767,178,0.0334642,0.002555958,SPENCER ROACH
Linda Stewart,48,Democrat,Senator,Florida,29.22584531,blue,48,240,158.3333333,179,0,0,LINDA STEWART
Daniel Burgess,0,Republican,Senator,Florida,29.22584531,red,0,9.874246951,193.5943884,180,0.061894562,-0.005045022,DANIEL BURGESS
Kelly Skidmore,92.3,Democrat,Representative,Florida,29.22584531,blue,92.3,462.4178241,141.88914,181,-0.000879752,0.000174068,KELLY SKIDMORE
Colleen Burton,0,Republican,Representative,Florida,29.22584531,red,0,-8.053990073,210.1666975,182,0.009875949,0.041228211,COLLEEN BURTON
Perry Thurston,79.2,Democrat,Senator,Florida,29.22584531,blue,79.2,394.5839098,161.7863515,183,0.000180463,-7.50E-05,PERRY THURSTON
Scott Plakon,0,Republican,Representative,Florida,29.22584531,red,0,-6.121844067,125.8332039,184,-0.034440681,-0.000945106,SCOTT PLAKON
Bob Rommel,0,Republican,Representative,Florida,29.22584531,red,0,8.021801684,186.2655386,185,0.031309472,-0.012307916,BOB ROMMEL
Chuck Brannan,0,Republican,Representative,Florida,29.22584531,red,0,-22.40820733,177.2092439,186,0.021484442,-0.0205799,CHUCK BRANNAN
